,user_id,made_on,original_description,amount_cents,income
118,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-26,SAINSBURYS S/MKTS ON 25 JUN CLP,290,False
119,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-25,COLEMAN CDF BORROW FT,20000,True
120,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-25,TESCO TESCO TAB SQ L EXP 25JUN 16.56 ATM,20000,False
121,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-25,SAINSBURYS S/MKTS ON 24 JUN BCC,264,False
122,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-24,TESCO TESCO TAB SQ L EXP 24JUN 14.07 ATM,2000,False
123,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-24,N K CONVENIENCE ST ON 23 JUN CLP,473,False
124,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-24,SAINSBURYS S/MKTS ON 23 JUN BCC,1775,False
125,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-23,FOOTBALL SUNDAYS MAX F FT,17250,False
126,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-22,SAINSBURYS S/MKTS ON 21 JUN CLP,425,False
127,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-22,TESCO STORES 4634 ON 21 JUN BCC,280,False
128,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-22,BOOTS 1126 ON 21 JUN CLP,619,False
129,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-21,LOAN REPAYM 21 JUN BCC,936,False
130,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-21,SAINSBURYS S/MKTS ON 20 JUN CLP,550,False
131,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-21,REAL ENGLISH GIFT ON 19 JUN BCC,726,False
132,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-19,BOOTS.COM ON 18 JUN BCC,16200,False
133,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-18,TESCO TESCO TAB SQ L EXP 18JUN 13.44 ATM,2000,False
134,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-18,JS WILSON AND SON ON 17 JUN BCC,7891,False
135,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-18,PP*VINAI ON 17 JUN CLP,700,False
136,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-18,LOAN REPAYM 17 JUN BCC,314,False
137,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-17,Amazon Prime*M69RT LUXEMBOURG ON 16 JUN BCC,799,False
138,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-17,Arlanda T5 Pier B SWEDEN AMOUNT IN SEK 184.00 ON 16 JUN VISA 11.926471 FINAL GBP AMOUNT INCLUDES NON-STERLING TRANS FEE £0.42,1585,False
139,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-17,NORWEGIAN AI429074 NORWAY ON 15 JUN BCC,15910,False
140,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-17,LEON ON 16 JUN CLP,1000,False
141,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-17,SELECTA UK GBP ON 16 JUN CLP,200,False
142,9d556712-ff2e-2f9c-73a9-5hf3cce9e389,2019-06-17,SAINSBURYS S/MKTS ON 16 JUN CLP,585,False
